"Year","State","Commodity","Species","Product_Type","Unit","Value"
2013,"ALASKA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"ALASKA","MOLLUSKS","CLAMS","NONE","OPERATIONS",1
2013,"ALASKA","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"ALASKA","MOLLUSKS","GEODUCK CLAMS","NONE","OPERATIONS",1
2013,"ALASKA","MOLLUSKS","GEODUCK CLAMS","NONE","DOLLARS",NA
2013,"ALASKA","MOLLUSKS","MUSSELS","NONE","OPERATIONS",4
2013,"ALASKA","MOLLUSKS","MUSSELS","NONE","DOLLARS",21850
2013,"ALASKA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","OYSTERS","NONE","DOLLARS",518773
2013,"ALASKA","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",518773
2013,"CALIFORNIA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",27
2013,"CALIFORNIA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",16992302
2013,"CALIFORNIA","MOLLUSKS","ABALONE","NONE","OPERATIONS",9
2013,"CALIFORNIA","MOLLUSKS","ABALONE","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","CLAMS","NONE","OPERATIONS",4
2013,"CALIFORNIA","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","MANILA CLAMS","NONE","OPERATIONS",4
2013,"CALIFORNIA","MOLLUSKS","MANILA CLAMS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","MUSSELS","NONE","OPERATIONS",9
2013,"CALIFORNIA","MOLLUSKS","MUSSELS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",18
2013,"CALIFORNIA","MOLLUSKS","OYSTERS","NONE","DOLLARS",9877151
2013,"CALIFORNIA","MOLLUSKS","NONE","NONE","OPERATIONS",5
2013,"CALIFORNIA","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",3
2013,"CALIFORNIA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"CALIFORNIA","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",18
2013,"CALIFORNIA","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",NA
2013,"CONNECTICUT","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",25
2013,"CONNECTICUT","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",28297391
2013,"CONNECTICUT","MOLLUSKS","CLAMS","NONE","OPERATIONS",16
2013,"CONNECTICUT","MOLLUSKS","CLAMS","NONE","DOLLARS",18135415
2013,"CONNECTICUT","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",16
2013,"CONNECTICUT","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",18135415
2013,"CONNECTICUT","MOLLUSKS","OYSTERS","NONE","OPERATIONS",13
2013,"CONNECTICUT","MOLLUSKS","OYSTERS","NONE","DOLLARS",10161976
2013,"CONNECTICUT","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",13
2013,"CONNECTICUT","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",10161976
2013,"FLORIDA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",132
2013,"FLORIDA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",19640914
2013,"FLORIDA","MOLLUSKS","CLAMS","NONE","OPERATIONS",127
2013,"FLORIDA","MOLLUSKS","CLAMS","NONE","DOLLARS",18729084
2013,"FLORIDA","MOLLUSKS","NONE","NONE","OPERATIONS",10
2013,"FLORIDA","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"FLORIDA","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",119
2013,"FLORIDA","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",NA
2013,"FLORIDA","MOLLUSKS","OTHER SPECIES","NONE","OPERATIONS",7
2013,"FLORIDA","MOLLUSKS","OTHER SPECIES","NONE","DOLLARS",NA
2013,"FLORIDA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",4
2013,"FLORIDA","MOLLUSKS","OYSTERS","NONE","DOLLARS",NA
2013,"FLORIDA","MOLLUSKS","NONE","NONE","OPERATIONS",2
2013,"FLORIDA","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"FLORIDA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",2
2013,"FLORIDA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"GEORGIA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",4
2013,"GEORGIA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"GEORGIA","MOLLUSKS","CLAMS","NONE","OPERATIONS",4
2013,"GEORGIA","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"GEORGIA","MOLLUSKS","NONE","NONE","OPERATIONS",1
2013,"GEORGIA","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"GEORGIA","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",3
2013,"GEORGIA","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",116000
2013,"HAWAII","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",3
2013,"HAWAII","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"HAWAII","MOLLUSKS","ABALONE","NONE","OPERATIONS",1
2013,"HAWAII","MOLLUSKS","ABALONE","NONE","DOLLARS",NA
2013,"HAWAII","MOLLUSKS","CLAMS","NONE","OPERATIONS",2
2013,"HAWAII","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"HAWAII","MOLLUSKS","NONE","NONE","OPERATIONS",1
2013,"HAWAII","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"HAWAII","MOLLUSKS","MANILA CLAMS","NONE","OPERATIONS",1
2013,"HAWAII","MOLLUSKS","MANILA CLAMS","NONE","DOLLARS",NA
2013,"LOUISIANA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",39
2013,"LOUISIANA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",13355478
2013,"LOUISIANA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",39
2013,"LOUISIANA","MOLLUSKS","OYSTERS","NONE","DOLLARS",13355478
2013,"LOUISIANA","MOLLUSKS","NONE","NONE","OPERATIONS",21
2013,"LOUISIANA","MOLLUSKS","NONE","NONE","DOLLARS",9966598
2013,"LOUISIANA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",18
2013,"LOUISIANA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",3388880
2013,"MAINE","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",22
2013,"MAINE","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"MAINE","MOLLUSKS","MUSSELS","NONE","OPERATIONS",5
2013,"MAINE","MOLLUSKS","MUSSELS","NONE","DOLLARS",1837653
2013,"MAINE","MOLLUSKS","OYSTERS","NONE","OPERATIONS",17
2013,"MAINE","MOLLUSKS","OYSTERS","NONE","DOLLARS",NA
2013,"MAINE","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",17
2013,"MAINE","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"MARYLAND","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",10
2013,"MARYLAND","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",1737855
2013,"MARYLAND","MOLLUSKS","CLAMS","NONE","OPERATIONS",1
2013,"MARYLAND","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"MARYLAND","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",1
2013,"MARYLAND","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",NA
2013,"MARYLAND","MOLLUSKS","OYSTERS","NONE","OPERATIONS",10
2013,"MARYLAND","MOLLUSKS","OYSTERS","NONE","DOLLARS",NA
2013,"MARYLAND","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",10
2013,"MARYLAND","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",132
2013,"MASSACHUSETTS","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","CLAMS","NONE","OPERATIONS",34
2013,"MASSACHUSETTS","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","NONE","NONE","OPERATIONS",4
2013,"MASSACHUSETTS","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",33
2013,"MASSACHUSETTS","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",1711698
2013,"MASSACHUSETTS","MOLLUSKS","OTHER SPECIES","NONE","OPERATIONS",2
2013,"MASSACHUSETTS","MOLLUSKS","OTHER SPECIES","NONE","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","OYSTERS","NONE","OPERATIONS",126
2013,"MASSACHUSETTS","MOLLUSKS","OYSTERS","NONE","DOLLARS",10969622
2013,"MASSACHUSETTS","MOLLUSKS","NONE","NONE","OPERATIONS",3
2013,"MASSACHUSETTS","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",123
2013,"MASSACHUSETTS","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"NEW JERSEY","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",50
2013,"NEW JERSEY","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",10302942
2013,"NEW JERSEY","MOLLUSKS","CLAMS","NONE","OPERATIONS",39
2013,"NEW JERSEY","MOLLUSKS","CLAMS","NONE","DOLLARS",2334270
2013,"NEW JERSEY","MOLLUSKS","NONE","NONE","OPERATIONS",3
2013,"NEW JERSEY","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"NEW JERSEY","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",37
2013,"NEW JERSEY","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",NA
2013,"NEW JERSEY","MOLLUSKS","OYSTERS","NONE","OPERATIONS",19
2013,"NEW JERSEY","MOLLUSKS","OYSTERS","NONE","DOLLARS",7968672
2013,"NEW JERSEY","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",19
2013,"NEW JERSEY","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",7968672
2013,"NEW YORK","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",15
2013,"NEW YORK","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",5657836
2013,"NEW YORK","MOLLUSKS","CLAMS","NONE","OPERATIONS",1
2013,"NEW YORK","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"NEW YORK","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",1
2013,"NEW YORK","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",NA
2013,"NEW YORK","MOLLUSKS","OYSTERS","NONE","OPERATIONS",14
2013,"NEW YORK","MOLLUSKS","OYSTERS","NONE","DOLLARS",NA
2013,"NEW YORK","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",14
2013,"NEW YORK","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"NORTH CAROLINA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",22
2013,"NORTH CAROLINA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",336692
2013,"NORTH CAROLINA","MOLLUSKS","CLAMS","NONE","OPERATIONS",20
2013,"NORTH CAROLINA","MOLLUSKS","CLAMS","NONE","DOLLARS",265160
2013,"NORTH CAROLINA","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",20
2013,"NORTH CAROLINA","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",265160
2013,"NORTH CAROLINA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",8
2013,"NORTH CAROLINA","MOLLUSKS","OYSTERS","NONE","DOLLARS",71532
2013,"NORTH CAROLINA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",8
2013,"NORTH CAROLINA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",71532
2013,"OREGON","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",17
2013,"OREGON","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",10554532
2013,"OREGON","MOLLUSKS","OYSTERS","NONE","OPERATIONS",17
2013,"OREGON","MOLLUSKS","OYSTERS","NONE","DOLLARS",10554532
2013,"OREGON","MOLLUSKS","NONE","NONE","OPERATIONS",1
2013,"OREGON","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"OREGON","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",17
2013,"OREGON","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",NA
2013,"PENNSYLVANIA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",1
2013,"PENNSYLVANIA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",NA
2013,"PENNSYLVANIA","MOLLUSKS","CLAMS","NONE","OPERATIONS",1
2013,"PENNSYLVANIA","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"PENNSYLVANIA","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",1
2013,"PENNSYLVANIA","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",NA
2013,"RHODE ISLAND","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",21
2013,"RHODE ISLAND","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",5733858
2013,"RHODE ISLAND","MOLLUSKS","CLAMS","NONE","OPERATIONS",2
2013,"RHODE ISLAND","MOLLUSKS","CLAMS","NONE","DOLLARS",NA
2013,"RHODE ISLAND","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",2
2013,"RHODE ISLAND","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",NA
2013,"RHODE ISLAND","MOLLUSKS","MUSSELS","NONE","OPERATIONS",1
2013,"RHODE ISLAND","MOLLUSKS","MUSSELS","NONE","DOLLARS",NA
2013,"RHODE ISLAND","MOLLUSKS","OYSTERS","NONE","OPERATIONS",21
2013,"RHODE ISLAND","MOLLUSKS","OYSTERS","NONE","DOLLARS",NA
2013,"RHODE ISLAND","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",21
2013,"RHODE ISLAND","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"SOUTH CAROLINA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",9
2013,"SOUTH CAROLINA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",2007910
2013,"SOUTH CAROLINA","MOLLUSKS","CLAMS","NONE","OPERATIONS",8
2013,"SOUTH CAROLINA","MOLLUSKS","CLAMS","NONE","DOLLARS",1822930
2013,"SOUTH CAROLINA","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",8
2013,"SOUTH CAROLINA","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",1822930
2013,"SOUTH CAROLINA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",6
2013,"SOUTH CAROLINA","MOLLUSKS","OYSTERS","NONE","DOLLARS",184980
2013,"SOUTH CAROLINA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",6
2013,"SOUTH CAROLINA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",184980
2013,"VIRGINIA","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",80
2013,"VIRGINIA","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",41522197
2013,"VIRGINIA","MOLLUSKS","CLAMS","NONE","OPERATIONS",33
2013,"VIRGINIA","MOLLUSKS","CLAMS","NONE","DOLLARS",20758844
2013,"VIRGINIA","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",33
2013,"VIRGINIA","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",20758844
2013,"VIRGINIA","MOLLUSKS","OYSTERS","NONE","OPERATIONS",60
2013,"VIRGINIA","MOLLUSKS","OYSTERS","NONE","DOLLARS",20763353
2013,"VIRGINIA","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",60
2013,"VIRGINIA","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",20763353
2013,"WASHINGTON","MOLLUSKS","MOLLUSKS","NONE","OPERATIONS",125
2013,"WASHINGTON","MOLLUSKS","MOLLUSKS","NONE","DOLLARS",149319676
2013,"WASHINGTON","MOLLUSKS","CLAMS","NONE","OPERATIONS",82
2013,"WASHINGTON","MOLLUSKS","CLAMS","NONE","DOLLARS",55212388
2013,"WASHINGTON","MOLLUSKS","NONE","NONE","OPERATIONS",3
2013,"WASHINGTON","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"WASHINGTON","MOLLUSKS","GEODUCK CLAMS","NONE","OPERATIONS",19
2013,"WASHINGTON","MOLLUSKS","GEODUCK CLAMS","NONE","DOLLARS",NA
2013,"WASHINGTON","MOLLUSKS","HARD CLAMS","NONE","OPERATIONS",4
2013,"WASHINGTON","MOLLUSKS","HARD CLAMS","NONE","DOLLARS",11430
2013,"WASHINGTON","MOLLUSKS","MANILA CLAMS","NONE","OPERATIONS",75
2013,"WASHINGTON","MOLLUSKS","MANILA CLAMS","NONE","DOLLARS",NA
2013,"WASHINGTON","MOLLUSKS","MUSSELS","NONE","OPERATIONS",13
2013,"WASHINGTON","MOLLUSKS","MUSSELS","NONE","DOLLARS",9764242
2013,"WASHINGTON","MOLLUSKS","OTHER SPECIES","NONE","OPERATIONS",4
2013,"WASHINGTON","MOLLUSKS","OTHER SPECIES","NONE","DOLLARS",3228832
2013,"WASHINGTON","MOLLUSKS","OYSTERS","NONE","OPERATIONS",89
2013,"WASHINGTON","MOLLUSKS","OYSTERS","NONE","DOLLARS",81114214
2013,"WASHINGTON","MOLLUSKS","NONE","NONE","OPERATIONS",9
2013,"WASHINGTON","MOLLUSKS","NONE","NONE","DOLLARS",NA
2013,"WASHINGTON","MOLLUSKS","EASTERN OYSTERS","NONE","OPERATIONS",1
2013,"WASHINGTON","MOLLUSKS","EASTERN OYSTERS","NONE","DOLLARS",NA
2013,"WASHINGTON","MOLLUSKS","PACIFIC OYSTERS","NONE","OPERATIONS",88
2013,"WASHINGTON","MOLLUSKS","PACIFIC OYSTERS","NONE","DOLLARS",67349166
